Date,House Price
1995-01-01,55437
1995-02-01,55437
1995-03-01,55437
1995-04-01,56033
1995-05-01,56033
1995-06-01,56033
1995-07-01,56522
1995-08-01,56522
1995-09-01,56522
1995-10-01,55762
1995-11-01,55762
1995-12-01,55762
1996-01-01,56576
1996-02-01,56576
1996-03-01,56576
1996-04-01,56630
1996-05-01,56630
1996-06-01,56630
1996-07-01,58854
1996-08-01,58854
1996-09-01,58854
1996-10-01,59885
1996-11-01,59885
1996-12-01,59885
1997-01-01,60698
1997-02-01,60698
1997-03-01,60698
1997-04-01,61946
1997-05-01,61946
1997-06-01,61946
1997-07-01,65092
1997-08-01,65092
1997-09-01,65092
1997-10-01,64604
1997-11-01,64604
1997-12-01,64604
1998-01-01,66231
1998-02-01,66231
1998-03-01,66231
1998-04-01,69757
1998-05-01,69757
1998-06-01,69757
1998-07-01,72795
1998-08-01,72795
1998-09-01,72795
1998-10-01,72469
1998-11-01,72469
1998-12-01,72469
1999-01-01,72903
1999-02-01,72903
1999-03-01,72903
1999-04-01,75995
1999-05-01,75995
1999-06-01,75995
1999-07-01,80443
1999-08-01,80443
1999-09-01,80443
1999-10-01,82504
1999-11-01,82504
1999-12-01,82504
2000-01-01,84620
2000-02-01,84620
2000-03-01,84620
2000-04-01,89230
2000-05-01,89230
2000-06-01,89230
2000-07-01,90912
2000-08-01,90912
2000-09-01,90912
2000-10-01,93624
2000-11-01,93624
2000-12-01,93624
2001-01-01,93136
2001-02-01,93136
2001-03-01,93136
2001-04-01,96499
2001-05-01,96499
2001-06-01,96499
2001-07-01,99971
2001-08-01,99971
2001-09-01,99971
2001-10-01,97964
2001-11-01,97964
2001-12-01,97964
2002-01-01,97623
2002-02-01,101164
2002-03-01,104705
2002-04-01,106121
2002-05-01,108852
2002-06-01,113304
2002-07-01,114214
2002-08-01,116743
2002-09-01,119576
2002-10-01,120486
2002-11-01,121700
2002-12-01,125747
2003-01-01,124836
2003-02-01,123521
2003-03-01,126152
2003-04-01,129186
2003-05-01,128276
2003-06-01,128579
2003-07-01,130805
2003-08-01,133132
2003-09-01,132727
2003-10-01,135054
2003-11-01,133536
2003-12-01,136167
2004-01-01,136976
2004-02-01,135661
2004-03-01,135964
2004-04-01,142135
2004-05-01,143855
2004-06-01,146384
2004-07-01,149520
2004-08-01,151240
2004-09-01,150937
2004-10-01,152050
2004-11-01,151847
2004-12-01,150734
2005-01-01,150633
2005-02-01,150488
2005-03-01,151723
2005-04-01,153880
2005-05-01,155533
2005-06-01,156767
2005-07-01,158786
2005-08-01,159431
2005-09-01,159183
2005-10-01,158865
2005-11-01,159337
2005-12-01,160209
2006-01-01,159970
2006-02-01,160231
2006-03-01,161531
2006-04-01,165042
2006-05-01,166606
2006-06-01,168184
2006-07-01,170604
2006-08-01,172037
2006-09-01,172738
2006-10-01,173750
2006-11-01,174644
2006-12-01,176819
2007-01-01,176758
2007-02-01,177261
2007-03-01,178636
2007-04-01,182243
2007-05-01,184330
2007-06-01,186348
2007-07-01,188691
2007-08-01,189786
2007-09-01,190032
2007-10-01,189589
2007-11-01,189489
2007-12-01,189193
2008-01-01,185782
2008-02-01,184185
2008-03-01,182845
2008-04-01,183148
2008-05-01,184267
2008-06-01,181831
2008-07-01,179845
2008-08-01,176092
2008-09-01,171660
2008-10-01,168177
2008-11-01,163447
2008-12-01,160954
2009-01-01,157234
2009-02-01,155417
2009-03-01,154452
2009-04-01,155852
2009-05-01,158004
2009-06-01,159561
2009-07-01,162423
2009-08-01,164025
2009-09-01,165314
2009-10-01,166425
2009-11-01,166986
2009-12-01,168082
2010-01-01,167469
2010-02-01,167888
2010-03-01,167878
2010-04-01,170028
2010-05-01,170846
2010-06-01,171689
2010-07-01,173427
2010-08-01,173417
2010-09-01,172972
2010-10-01,171045
2010-11-01,169013
2010-12-01,168703
2011-01-01,167300
2011-02-01,166415
2011-03-01,165649
2011-04-01,168218
2011-05-01,167470
2011-06-01,167753
2011-07-01,169866
2011-08-01,169968
2011-09-01,169544
2011-10-01,167673
2011-11-01,167757
2011-12-01,167048
2012-01-01,165908
2012-02-01,165457
2012-03-01,165947
2012-04-01,167854
2012-05-01,168395
2012-06-01,170049
2012-07-01,170701
2012-08-01,170902
2012-09-01,170295
2012-10-01,169090
2012-11-01,169227
2012-12-01,168843
2013-01-01,167716
2013-02-01,167682
2013-03-01,168681
2013-04-01,170335
2013-05-01,171234
2013-06-01,172655
2013-07-01,174592
2013-08-01,175982
2013-09-01,176098
2013-10-01,175378
2013-11-01,176352
2013-12-01,177971
2014-01-01,178182
2014-02-01,178921
2014-03-01,179537
2014-04-01,183532
2014-05-01,185476
2014-06-01,187077
2014-07-01,189709
2014-08-01,191932
2014-09-01,192138
2014-10-01,191855
2014-11-01,191209
2014-12-01,191669
2015-01-01,190665
2015-02-01,190827
2015-03-01,191537
2015-04-01,193225
2015-05-01,195313
2015-06-01,196802
2015-07-01,200142
2015-08-01,201973
2015-09-01,202389
2015-10-01,202664
2015-11-01,204223
2015-12-01,204920
2016-01-01,205464
2016-02-01,205555
2016-03-01,207667
2016-04-01,208443
2016-05-01,210872
2016-06-01,212887
2016-07-01,215127
2016-08-01,215145
2016-09-01,214816
2016-10-01,214107
2016-11-01,215113
2016-12-01,215500
2017-01-01,215243
2017-02-01,215697
2017-03-01,215236
2017-04-01,218642
2017-05-01,219954
2017-06-01,221833
2017-07-01,224719
2017-08-01,225738
2017-09-01,224895
2017-10-01,225092
2017-11-01,224453
2017-12-01,225330
2018-01-01,224544
2018-02-01,225131
2018-03-01,223772
2018-04-01,225910
2018-05-01,226834
2018-06-01,228355
2018-07-01,231187
2018-08-01,231898
2018-09-01,231454
2018-10-01,231211
2018-11-01,230224
2018-12-01,229729
2019-01-01,228314
2019-02-01,227738
2019-03-01,227104
2019-04-01,228749
2019-05-01,229061
2019-06-01,230049
2019-07-01,232618
2019-08-01,233366
2019-09-01,233536
2019-10-01,232919
2019-11-01,232096
2019-12-01,231792
2020-01-01,231940
2020-02-01,230609
2020-03-01,232684
2020-04-01,230318
2020-05-01,231508
2020-06-01,234703
2020-07-01,236687
2020-08-01,238998
2020-09-01,241541
2020-10-01,243575
2020-11-01,246065
2020-12-01,247983
2021-01-01,249690
2021-02-01,249586
2021-03-01,253506
2021-04-01,250210
2021-05-01,251285
2021-06-01,265676
2021-07-01,252960
2021-08-01,260429
2021-09-01,269003
2021-10-01,263333
2021-11-01,267370
2021-12-01,268115
2022-01-01,272738
2022-02-01,272454
2022-03-01,273787
2022-04-01,276917
2022-05-01,280433
2022-06-01,282777
2022-07-01,288156
2022-08-01,290541
2022-09-01,291716
2022-10-01,291233
2022-11-01,291518
2022-12-01,289728
2023-01-01,286321
2023-02-01,284152
2023-03-01,281555
2023-04-01,282166
2023-05-01,283165
2023-06-01,286315
2023-07-01,289632
2023-08-01,292882
